,Ticker
1074,TGNA
1075,BWXT
1076,MPW
1077,CAVM
1078,HHC
1079,PVTB
1080,AA
1081,GRA
1082,NRG
1084,NUAN
1085,PWR
1086,BRX
1087,JWN
1088,FAF
1089,AVT
1091,S
1092,RRC
1093,HFC
1094,HXL
1095,OSK
1096,AWH
1097,CPN
1098,CBSH
1099,SLM
1100,EXP
1101,EPR
1103,CLB
1104,TDY
1105,CASY
1106,CUBE
1108,THO
1109,Z
1110,LYV
1111,GWRE
1112,EEFT
1113,AZPN
1114,PB
1115,RLGY
1116,CNK
1117,WBS
1118,GPK
1119,AGCO
1120,HTA
1121,FNB
1123,THS
1124,GPT
1125,IDA
1126,WAL
1127,WGL
1128,CONE
1129,ATHN
1130,CHK
1131,XPO
1132,MUR
1134,LVNTA
1135,NEU
1136,CSRA
1137,WSO
1138,VR
1139,FICO
1141,EPC
1142,CY
1143,WSM
1144,SIG
1146,ISBC
1148,POR
1149,RL
1150,CRUS
1151,CRI
1152,OZRK
1153,MMS
1154,BMS
1155,CR
1156,ASH
1157,DFT
1158,JCOM
1159,ROL
1160,UBSI
1161,RIG
1162,IBKC
1163,TRN
1164,FHN
1165,NATI
1166,EQC
1167,WTM
1168,CFX
1170,DNB
1171,NAVI
1172,BPOP
1173,BLKB
1174,RAD
1175,HR
1176,DST
1177,CBRL
1178,GWR
1179,GRUB
1180,HBHC
1181,SWX
1182,SMG
1183,SAVE
1184,GEO
1185,DISCA
1186,EME
1187,TUP
1188,UNIT
1189,OI
1190,WEX
1191,DKS
1192,CXW
1193,ELLI
1194,MDSO
1196,CST
1197,MTG
1198,HAIN
1199,ASB
1200,BKH
1201,LOPE
1202,UMPQ
1203,RDN
1204,OGS
1205,CW
1206,CLR
1207,SXT
1208,MSM
1209,LFUS
1210,TDC
1211,CLGX
1212,NJR
1213,WWD
1214,TCBI
1215,EPAM
1216,FLO
1217,PRI
1218,RBC
1219,KEX
1220,TCO
1221,CUZ
1222,PTEN
1223,LSI
1224,G
1225,VSAT
1226,WTFC
1227,HE
1228,RYN
1229,UAA
1230,SHO
1231,ITT
1232,COR
1233,BFAM
1234,THG
1235,DATA
1236,WRI
1237,SRC
1239,TWO
1241,ALE
1242,JACK
1243,CNO
1245,PFPT
1246,SWN
1247,AL
1248,STOR
1249,X
1250,BKU
1251,ENS
1252,TEX
1254,TECD
1255,CIEN
1256,LSTR
1257,LPX
1258,R
1259,UA
1260,CHE
1261,BOH
1262,LM
1263,OFC
1264,ENR
1265,LNCE
1266,MANH
1267,CBT
1268,NTCT
1269,LPLA
1270,OUT
1271,DLX
1273,TKR
1274,VMI
1275,TXRH
1276,VSM
1277,FR
1278,LHO
1279,DY
1280,RHP
1281,SNX
1282,VC
1283,BFA
1285,CIM
1286,ZAYO
1287,LSXMA
1288,CABO
1289,PK
1290,IDTI
1291,NHI
1292,SAIC
1293,CACI
1294,SPB
1295,MFA
1296,FDC
1297,UMBF
1298,VLY
1299,CLH
1300,SR
1301,KMT
1302,SKX
1303,PDM
1304,FULT
1305,DOC
1306,NWE
1307,WEN
1308,SF
1309,LITE
1310,POL
1311,PNM
1312,PRA
